title,release,director,budget,opening,gross,worldwide_gross,metacritic_score,mpaa_rating,budget_mil,opening_mil,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,leadActor
The Snowman,2017-10-20,Tomas Alfredson,35000000,3372565,6700035,43155261,23,R,35.0,3.372565,tt1758810,movie,The Snowman,The Snowman,0,2017,119,Crime,5.1,59311,nm1867674
Danny Collins,2015-04-10,Dan Fogelman,10000000,72459,5637066,10835752,58,R,10.0,0.072459,tt1772288,movie,Danny Collins,Danny Collins,0,2015,106,Biography,7.0,30202,nm7076077
Hands of Stone,2016-08-26,Jonathan Jakubowicz,20000000,1751388,4712792,4978353,54,R,20.0,1.751388,tt1781827,movie,Hands of Stone,Hands of Stone,0,2016,111,Biography,6.6,15283,nm5341350
Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-26,Joachim Rønning,230000000,62983253,172558876,794881442,39,PG-13,230.0,62.983253,tt1790809,movie,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,0,2017,129,Action,6.5,269138,nm1461392
Bad Santa 2,2016-11-23,Mark Waters,26000000,6176680,17782178,24079268,38,R,26.0,6.17668,tt1798603,movie,Bad Santa 2,Bad Santa 2,0,2016,92,Comedy,5.6,23551,nm1752051
Southpaw,2015-07-24,Antoine Fuqua,30000000,16701294,52421953,91970827,57,R,30.0,16.701294,tt1798684,movie,Southpaw,Southpaw,0,2015,124,Action,7.4,220487,nm0724854
Gold,2017-01-27,Stephen Gaghan,20000000,3471316,7227038,14880939,49,R,20.0,3.471316,tt1800302,movie,Gold,Gold,0,2016,120,Adventure,6.7,58522,nm0957003
Gotti,2018-06-20,Kevin Connolly,10000000,1719902,4343227,6412349,24,R,10.0,1.719902,tt1801552,movie,Gotti,Gotti,0,2018,112,Biography,4.8,14015,nm2428123
Little Boy,2015-04-24,Alejandro Monteverde,20000000,2750356,6485961,17572289,30,PG-13,20.0,2.750356,tt1810683,movie,Little Boy,Little Boy,0,2015,106,Drama,7.4,22258,nm0895150
Chappie,2015-03-06,Neill Blomkamp,49000000,13346782,31569268,102811889,41,R,49.0,13.346782,tt1823672,movie,Chappie,Chappie,0,2015,120,Action,6.8,231737,nm1022001
Black Panther,2018-02-16,Ryan Coogler,200000000,202003951,700426566,1347597973,88,PG-13,200.0,202.003951,tt1825683,movie,Black Panther,Black Panther,0,2018,134,Action,7.3,641121,nm3234869
Blade Runner 2049,2017-10-06,Denis Villeneuve,150000000,32753122,92054159,259304838,81,R,150.0,32.753122,tt1856101,movie,Blade Runner 2049,Blade Runner 2049,0,2017,164,Action,8.0,473851,nm0266684
Deepwater Horizon,2016-09-30,Peter Berg,110000000,20223544,61433527,121790373,68,PG-13,110.0,20.223544,tt1860357,movie,Deepwater Horizon,Deepwater Horizon,0,2016,107,Action,7.1,154396,nm2417866
Spotlight,2015-11-20,Tom McCarthy,20000000,295009,45055776,98690254,93,R,20.0,0.295009,tt1895587,movie,Spotlight,Spotlight,0,2015,129,Biography,8.1,427806,nm0837386
Miss Peregrine's Home for Peculiar Children,2016-09-30,Tim Burton,110000000,28871140,87242834,296482446,57,PG-13,110.0,28.87114,tt1935859,movie,Miss Peregrine's Home for Peculiar Children,Miss Peregrine's Home for Peculiar Children,0,2016,127,Adventure,6.7,157817,nm0867768
UglyDolls,2019-05-03,Kelly Asbury,45000000,8603407,20150241,32450241,39,PG,45.0,8.603407,tt1946502,movie,UglyDolls,UglyDolls,0,2019,87,Adventure,5.0,5939,nm2679917
Ford v Ferrari,2019-11-15,James Mangold,97600000,31474958,117624357,225508210,81,PG-13,97.6,31.474958,tt1950186,movie,Ford v Ferrari,Ford v Ferrari,0,2019,152,Action,8.1,307065,nm1858656
The Hunger Games: Mockingjay - Part 2,2015-11-20,Francis Lawrence,160000000,102665981,281723902,658344137,65,PG-13,160.0,102.665981,tt1951266,movie,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2,0,2015,137,Action,6.6,291248,nm0185976
The Hitman's Bodyguard,2017-08-18,Patrick Hughes,30000000,21384504,75468583,176600207,47,R,30.0,21.384504,tt1959563,movie,The Hitman's Bodyguard,The Hitman's Bodyguard,0,2017,118,Action,6.9,190683,nm0002659
Tomorrowland,2015-05-22,Brad Bird,190000000,33028165,93436322,209035668,60,PG,190.0,33.028165,tt1964418,movie,Tomorrowland,Tomorrowland,0,2015,130,Action,6.4,173618,nm0315974
The Comedian,2017-02-03,Taylor Hackford,15000000,10723,1659002,1659002,40,R,15.0,0.010723,tt1967614,movie,The Comedian,The Comedian,0,2016,120,Comedy,5.8,6818,nm0513165
King Arthur: Legend of the Sword,2017-05-12,Guy Ritchie,175000000,15371270,39175066,148675066,41,PG-13,175.0,15.37127,tt1972591,movie,King Arthur: Legend of the Sword,King Arthur: Legend of the Sword,0,2017,126,Action,6.7,195085,nm1703612
Rules Don't Apply,2016-11-23,Warren Beatty,25000000,1589625,3652206,3885342,60,PG-13,25.0,1.589625,tt1974420,movie,Rules Don't Apply,Rules Don't Apply,0,2016,127,Comedy,5.7,10011,nm2576804
Victor Frankenstein,2015-11-25,Paul McGuigan,65000000,2469341,5775076,34227298,36,PG-13,65.0,2.469341,tt1976009,movie,Victor Frankenstein,Victor Frankenstein,0,2015,110,Drama,6.0,53024,nm0484840
Toy Story 4,2019-06-21,Josh Cooley,200000000,120908065,434038008,1073394593,84,G,200.0,120.908065,tt1979376,movie,Toy Story 4,Toy Story 4,0,2019,100,Adventure,7.8,209882,nm0429069
The Good Dinosaur,2015-11-25,Peter Sohn,200000000,39155217,123087120,332207671,66,PG,200.0,39.155217,tt1979388,movie,The Good Dinosaur,The Good Dinosaur,0,2015,93,Adventure,6.7,103758,nm0677037
Geostorm,2017-10-20,Dean Devlin,120000000,13707376,33700160,221600160,21,PG-13,120.0,13.707376,tt1981128,movie,Geostorm,Geostorm,0,2017,109,Action,5.3,96840,nm1911103
War Dogs,2016-08-19,Todd Phillips,40000000,14685305,43034523,86234523,57,R,40.0,14.685305,tt2005151,movie,War Dogs,War Dogs,0,2016,114,Biography,7.1,183736,nm0177896
The 33,2015-11-13,Patricia Riggen,26000000,5787266,12227722,27972023,55,PG-13,26.0,5.787266,tt2006295,movie,The 33,The 33,0,2015,127,Biography,6.9,36112,nm0859241
The Finest Hours,2016-01-29,Craig Gillespie,80000000,10288932,27569558,52099090,58,PG-13,80.0,10.288932,tt2025690,movie,The Finest Hours,The Finest Hours,0,2016,117,Action,6.8,62669,nm2053216
The Great Wall,2017-02-17,Yimou Zhang,150000000,18469620,45540830,334933831,42,PG-13,150.0,18.46962,tt2034800,movie,The Great Wall,The Great Wall,0,2016,103,Action,5.9,126610,nm0112150
Flatliners,2017-09-29,Niels Arden Oplev,19000000,6574326,16883115,45158254,27,PG-13,19.0,6.574326,tt2039338,movie,Flatliners,Flatliners,0,2017,109,Drama,5.2,43383,nm0276823
Eye in the Sky,2016-04-01,Gavin Hood,13000000,113803,18704595,35259653,73,R,13.0,0.113803,tt2057392,movie,Eye in the Sky,Eye in the Sky,0,2015,102,Action,7.3,80325,nm0382505
Point Break,2015-12-25,Ericson Core,105000000,9800252,28782481,133718711,34,PG-13,105.0,9.800252,tt2058673,movie,Point Break,Point Break,0,2015,114,Action,5.4,59202,nm0049689
Rocketman,2019-05-31,Dexter Fletcher,40000000,25725722,96368160,195179299,69,R,40.0,25.725722,tt2066051,movie,Rocketman,Rocketman,0,2019,121,Biography,7.3,144280,nm0299050
Sleepless,2017-01-13,Baran bo Odar,30000000,8344128,20783704,32917353,34,R,30.0,8.344128,tt2072233,movie,Sleepless,Sleepless,0,2017,95,Action,5.6,30189,nm0235502
Chaos Walking,2021-03-05,Doug Liman,125000000,3775350,12999266,21599266,39,PG-13,125.0,3.77535,tt2076822,movie,Chaos Walking,Chaos Walking,0,2021,109,Action,5.7,14032,nm4710432
Captain Underpants: The First Epic Movie,2017-06-02,David Soren,38000000,23851539,73921000,125427681,69,PG,38.0,23.851539,tt2091256,movie,Captain Underpants: The First Epic Movie,Captain Underpants: The First Epic Movie,0,2017,89,Action,6.2,25328,nm0842616
Mr. Right,2016-04-08,Paco Cabezas,8000000,25369,34694,607595,52,R,8.0,0.025369,tt2091935,movie,Mr. Right,Mr. Right,0,2015,95,Action,6.3,51366,nm0375033
Assassin's Creed,2016-12-21,Justin Kurzel,125000000,10278225,54647948,240697856,36,PG-13,125.0,10.278225,tt2094766,movie,Assassin's Creed,Assassin's Creed,0,2016,115,Action,5.7,187817,nm1172727
Inside Out,2015-06-19,Pete Docter,175000000,90440272,356921711,858071350,94,PG,175.0,90.440272,tt2096673,movie,Inside Out,Inside Out,0,2015,95,Adventure,8.1,628319,nm1578335
"McFarland, USA",2015-02-20,Niki Caro,17000000,11020798,44482410,45710059,60,PG,17.0,11.020798,tt2097298,movie,"McFarland, USA","McFarland, USA",0,2015,129,Biography,7.4,35842,nm0161891
