title,release,startYear,top3_actors
The Words,2012-09-07,2012,"['Dennis Quaid', 'John Hannah', 'Jeremy Irons']"
W.E.,2012-09-12,2011,"['Abbie Cornish', 'Andrea Riseborough', ""James D'Arcy""]"
Resident Evil: Retribution,2012-09-14,2012,"['Milla Jovovich', 'Sienna Guillory', 'Michelle Rodriguez']"
Ruby Sparks,2012-09-19,2012,"['Paul Dano', 'Zoe Kazan', 'Chris Messina']"
Robot & Frank,2012-09-19,2012,"['Frank Langella', 'James Marsden', 'Liv Tyler']"
Unconditional,2012-09-21,2012,"['Roschdy Zem', 'Chiara Mastroianni', 'Melissa Guers']"
House at the End of the Street,2012-09-21,2012,"['Jennifer Lawrence', 'Max Thieriot', 'Elisabeth Shue']"
Dredd,2012-09-21,2012,"['Karl Urban', 'Rachel Wood', 'Andile Mngadi']"
End of Watch,2012-09-21,2012,"['Jake Gyllenhaal', 'Michael Peña', 'Natalie Martinez']"
Compliance,2012-09-26,2012,"['Ann Dowd', 'Matt Servitto', 'Dreama Walker']"
Hotel Transylvania,2012-09-28,2012,"['Adam Sandler', 'Andy Samberg', 'Selena Gomez']"
Looper,2012-09-28,2012,"['Joseph Gordon-Levitt', 'Bruce Willis', 'Emily Blunt']"
Liberal Arts,2012-10-05,2012,"['Josh Radnor', 'Elizabeth Olsen', 'Richard Jenkins']"
Frankenweenie,2012-10-05,2012,"[""Catherine O'Hara"", 'Martin Short', 'Martin Landau']"
Pitch Perfect,2012-10-05,2012,"['Anna Kendrick', 'Skylar Astin', 'Ben Platt']"
Here Comes the Boom,2012-10-12,2012,"['Kevin James', 'Salma Hayek', 'Henry Winkler']"
Sinister,2012-10-12,2012,"['Ethan Hawke', 'Juliet Rylance', 'Fred Thompson']"
Atlas Shrugged II: The Strike,2012-10-12,2012,"['Diedrich Bader', 'Jason Beghe', 'Jordana Capra']"
Argo,2012-10-12,2012,"['Ben Affleck', 'Bryan Cranston', 'Alan Arkin']"
The Paperboy,2012-10-17,2012,"['Zac Efron', 'Matthew McConaughey', 'Nicole Kidman']"
Alex Cross,2012-10-19,2012,"['Tyler Perry', 'Edward Burns', 'Matthew Fox']"
Universal Soldier: Day of Reckoning,2012-10-25,2012,"['Jean-Claude Van Damme', 'Dolph Lundgren', 'Scott Adkins']"
